issue_year,total_loans,default_rate,total_ECL,total_EAD,ECL_pct
2007,603,26.2,610064.0425317487,3362725.0,18.14
2008,2393,20.73,2486743.4697339893,15267075.0,16.29
2009,5281,13.69,5820379.056466031,44214475.0,13.16
2010,12537,14.01,14526161.092351547,108540425.0,13.38
2011,21721,15.18,29544085.885031693,215005175.0,13.74
2012,53367,16.2,79482678.86692579,590839175.0,13.45
2013,134814,15.6,222820078.46005628,1652852026.1,13.48
2014,235629,17.61,395707709.3668021,2857731505.7,13.85
2015,421095,18.32,686696014.7565384,5209468603.57,13.18
2016,434407,16.76,682772679.6833965,5307601718.83,12.86
2017,443579,10.63,749605311.5630254,5924715900.8,12.65
2018,495242,3.25,875360879.0115505,7769845844.43,11.27
